STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REPORTING_TYPE,Reporting type,SERIES,SDG Series,REF_AREA,Reference area,SEX,Sex,AGE,Age,URBANISATION,Degree of urbanisation,INCOME_WEALTH_QUANTILE,Income or wealth quantile,EDUCATION_LEV,Education level,OCCUPATION,Occupation,CUST_BREAKDOWN,Custom Breakdown,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY_STATUS,Disability status,ACTIVITY,Economic activity,PRODUCT,Type of product,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,UNIT_MEASURE,Unit of measure,BASE_PER,Base period,NATURE,Nature of data points,TIME_DETAIL,Time period details,COMMENT_OBS,Observation-level footnotes,TIME_COVERAGE,Time period or range (ISO8601),UPPER_BOUND,Upper bound value,LOWER_BOUND,Lower bound value,SOURCE_DETAIL,Source details,COMMENT_TS,Time series-level footnotes,GEO_INFO_URL,Geoinformation URL,GEO_INFO_TYPE,Geoinformation type,CUST_BREAKDOWN_LB,Label for custom breakdown,DATA_LAST_UPDATE,Date of the most recent change of the series.
DATAFLOW,SPC:DF_SDG_13(4.4),Sustainable Development Goal 13 - Climate Action,I,A,Annual,G,Global,SG_DSR_SILS,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",KI,Kiribati,_T,Total,_T,All age ranges or no breakdown by age,_T,National,_T,Total (national average) or no breakdown,_T,Total or no breakdown by education level,_T,All occupations or no breakdown by Occupation,_T,No breakdown,_T,No breakdown,_T,No breakdown by disability,_T,No breakdown,_T,No breakdown,2019,,13.04,,X,Figure from international organizations,0,Units,PT,Percent,,,C,Country Data,2019,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,,,,,,2026-03-12T00:00:00,
DATAFLOW,SPC:DF_SDG_13(4.4),Sustainable Development Goal 13 - Climate Action,I,A,Annual,G,Global,SG_DSR_SILS,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",KI,Kiribati,_T,Total,_T,All age ranges or no breakdown by age,_T,National,_T,Total (national average) or no breakdown,_T,Total or no breakdown by education level,_T,All occupations or no breakdown by Occupation,_T,No breakdown,_T,No breakdown,_T,No breakdown by disability,_T,No breakdown,_T,No breakdown,2020,,17.39,,X,Figure from international organizations,0,Units,PT,Percent,,,C,Country Data,2020,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,,,,,,2026-03-12T00:00:00,
DATAFLOW,SPC:DF_SDG_13(4.4),Sustainable Development Goal 13 - Climate Action,I,A,Annual,G,Global,SG_DSR_SILS,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",KI,Kiribati,_T,Total,_T,All age ranges or no breakdown by age,_T,National,_T,Total (national average) or no breakdown,_T,Total or no breakdown by education level,_T,All occupations or no breakdown by Occupation,_T,No breakdown,_T,No breakdown,_T,No breakdown by disability,_T,No breakdown,_T,No breakdown,2021,,26.09,,X,Figure from international organizations,0,Units,PT,Percent,,,C,Country Data,2021,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,,,,,,2026-03-12T00:00:00,
DATAFLOW,SPC:DF_SDG_13(4.4),Sustainable Development Goal 13 - Climate Action,I,A,Annual,G,Global,SG_DSR_SILS,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",MH,Marshall Islands,_T,Total,_T,All age ranges or no breakdown by age,_T,National,_T,Total (national average) or no breakdown,_T,Total or no breakdown by education level,_T,All occupations or no breakdown by Occupation,_T,No breakdown,_T,No breakdown,_T,No breakdown by disability,_T,No breakdown,_T,No breakdown,2016,,0,,X,Figure from international organizations,0,Units,PT,Percent,,,C,Country Data,2016,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,,,,,,2026-03-12T00:00:00,
DATAFLOW,SPC:DF_SDG_13(4.4),Sustainable Development Goal 13 - Climate Action,I,A,Annual,G,Global,SG_DSR_SILS,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",MH,Marshall Islands,_T,Total,_T,All age ranges or no breakdown by age,_T,National,_T,Total (national average) or no breakdown,_T,Total or no breakdown by education level,_T,All occupations or no breakdown by Occupation,_T,No breakdown,_T,No breakdown,_T,No breakdown by disability,_T,No breakdown,_T,No breakdown,2017,,0,,X,Figure from international organizations,0,Units,PT,Percent,,,C,Country Data,2017,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,,,,,,2026-03-12T00:00:00,
DATAFLOW,SPC:DF_SDG_13(4.4),Sustainable Development Goal 13 - Climate Action,I,A,Annual,G,Global,SG_DSR_SILS,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",MH,Marshall Islands,_T,Total,_T,All age ranges or no breakdown by age,_T,National,_T,Total (national average) or no breakdown,_T,Total or no breakdown by education level,_T,All occupations or no breakdown by Occupation,_T,No breakdown,_T,No breakdown,_T,No breakdown by disability,_T,No breakdown,_T,No breakdown,2018,,0,,X,Figure from international organizations,0,Units,PT,Percent,,,C,Country Data,2018,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,,,,,,2026-03-12T00:00:00,
DATAFLOW,SPC:DF_SDG_13(4.4),Sustainable Development Goal 13 - Climate Action,I,A,Annual,G,Global,SG_DSR_SILS,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",MH,Marshall Islands,_T,Total,_T,All age ranges or no breakdown by age,_T,National,_T,Total (national average) or no breakdown,_T,Total or no breakdown by education level,_T,All occupations or no breakdown by Occupation,_T,No breakdown,_T,No breakdown,_T,No breakdown by disability,_T,No breakdown,_T,No breakdown,2019,,0,,X,Figure from international organizations,0,Units,PT,Percent,,,C,Country Data,2019,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,,,,,,2026-03-12T00:00:00,
DATAFLOW,SPC:DF_SDG_13(4.4),Sustainable Development Goal 13 - Climate Action,I,A,Annual,G,Global,SG_DSR_SILS,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",MH,Marshall Islands,_T,Total,_T,All age ranges or no breakdown by age,_T,National,_T,Total (national average) or no breakdown,_T,Total or no breakdown by education level,_T,All occupations or no breakdown by Occupation,_T,No breakdown,_T,No breakdown,_T,No breakdown by disability,_T,No breakdown,_T,No breakdown,2020,,12.5,,X,Figure from international organizations,0,Units,PT,Percent,,,C,Country Data,2020,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,,,,,,2026-03-12T00:00:00,
DATAFLOW,SPC:DF_SDG_13(4.4),Sustainable Development Goal 13 - Climate Action,I,A,Annual,G,Global,SG_DSR_SILS,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",MH,Marshall Islands,_T,Total,_T,All age ranges or no breakdown by age,_T,National,_T,Total (national average) or no breakdown,_T,Total or no breakdown by education level,_T,All occupations or no breakdown by Occupation,_T,No breakdown,_T,No breakdown,_T,No breakdown by disability,_T,No breakdown,_T,No breakdown,2021,,54.17,,X,Figure from international organizations,0,Units,PT,Percent,,,C,Country Data,2021,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,,,,,,2026-03-12T00:00:00,
DATAFLOW,SPC:DF_SDG_13(4.4),Sustainable Development Goal 13 - Climate Action,I,A,Annual,G,Global,SG_DSR_SILS,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",MH,Marshall Islands,_T,Total,_T,All age ranges or no breakdown by age,_T,National,_T,Total (national average) or no breakdown,_T,Total or no breakdown by education level,_T,All occupations or no breakdown by Occupation,_T,No breakdown,_T,No breakdown,_T,No breakdown by disability,_T,No breakdown,_T,No breakdown,2022,,75,,X,Figure from international organizations,0,Units,PT,Percent,,,C,Country Data,2022,,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,,,,,,,,United Nations Office for Disaster Risk Reduction (2026),,,,,,,,,,2026-03-12T00:00:00,
